what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513177729282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513177834000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513177839100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513177839838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513177870890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1513177875447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1513177875871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513177876184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513177877321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513177917341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513177918665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513178019685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513178023571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513178023962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513178059280
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1513178065923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513178073427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513178074462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513178126636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1513178134063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513178134480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513178139876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513178150682
